Team Name,Power Rating,Offense Rating,Defense Rating,Strength of Schedule
Ohio State,27.46,12.57,14.89,56.45
Notre Dame,22.13,10.95,11.19,56.93
Alabama,22.12,10.85,11.26,56.28
Georgia,22.07,10.54,11.53,56.42
Penn State,21.05,9.12,11.94,53.43
Texas,20.76,9.71,11.05,58.66
Oregon,19.77,11.06,8.71,56.06
Ole Miss,19.31,9.88,9.43,55.39
Michigan,18.21,6.56,11.65,56.78
Tennessee,18.11,8.87,9.24,53.45
LSU,14.31,8.53,5.78,55.87
Indiana,14.08,7.07,7.01,51.84
USC,13.16,8.36,4.8,58.17
Texas A&M,12.97,6.12,6.85,56.53
Kansas State,12.72,6.99,5.74,54.03
Florida,12.56,5.85,6.72,58.31
South Carolina,12.53,5.58,6.95,57.47
Clemson,12.39,6.95,5.44,53.18
Louisville,11.98,6.75,5.23,51.76
Oklahoma,11.82,5.7,6.13,56.61
Iowa,11.37,2.6,8.77,55.63
Missouri,11.36,5.02,6.35,53.67
Iowa State,11.36,5.39,5.98,53.41
TCU,10.5,6.59,3.91,54.57
Minnesota,10.23,2.57,7.66,53.74
Miami,10.08,7.91,2.18,53.24
SMU,10.07,6.71,3.36,51.42
Washington,9.39,4.3,5.08,55.32
Arizona State,9.3,4.83,4.48,52.77
BYU,9.25,4.65,4.6,52.13
Auburn,9.05,3.43,5.63,55.51
Arkansas,8.98,4.47,4.51,58.14
Utah,8.9,2.25,6.65,53.69
Baylor,8.84,6.02,2.81,54.09
Wisconsin,8.45,1.74,6.7,62.47
Kansas,7.84,4.97,2.88,53.53
Illinois,7.71,3.12,4.59,53.8
Kentucky,7.28,1.65,5.63,57.07
Texas Tech,7.11,6.45,0.66,51.07
Nebraska,6.88,0.03,6.85,54
Colorado,6.76,3.95,2.81,56.17
UCLA,6.67,1.64,5.04,60.25
Boise State,6.2,3.47,2.73,44.06
Virginia Tech,5.97,2.34,3.63,51.41
Rutgers,5.35,2.33,3.02,56.34
Georgia Tech,5.17,2.71,2.46,51.46
UCF,5.16,3.3,1.87,52.56
West Virginia,5.06,3.94,1.11,53.36
Maryland,4.63,2.2,2.43,52.72
Oklahoma State,4.59,4.51,0.08,52.88
Cincinnati,3.76,0.93,2.83,53.4
Tulane,3.64,1.8,1.84,48.47
Vanderbilt,3.44,1.38,2.07,56.51
Pittsburgh,3.43,2.65,0.78,51.84
Mississippi State,3.43,2.09,1.34,56.88
North Carolina,3.11,3.23,-0.12,49.4
Syracuse,2.98,2.91,0.07,54.85
Boston College,2.85,1.09,1.76,53.06
California,2.85,0.46,2.39,50.59
Duke,2.72,0.65,2.08,50.46
Washington State,2.34,3.36,-1.02,46.4
Florida State,2.25,-0.29,2.55,51.02
NC State,2.17,1.26,0.91,51.88
Memphis,1.84,2.72,-0.88,42.68
Army,1.81,-1.01,2.82,42.8
Michigan State,1.54,-1.31,2.85,56.09
UNLV,1.08,1.26,-0.18,42.38
Oregon State,0.45,0.41,0.04,47.56
Arizona,0.44,0.32,0.13,53.04
Navy,-0.09,-1.26,1.16,43.02
Virginia,-0.31,-0.44,0.13,49.65
Northwestern,-0.49,-2.66,2.17,55.53
Houston,-0.49,-2.41,1.92,51.91
James Madison,-0.53,-0.38,-0.14,45.01
Marshall,-1.25,-0.75,-0.49,43.64
Wake Forest,-2.33,-0.4,-1.93,47.01
Ohio,-2.55,-2.71,0.15,43.46
UTSA,-2.67,0.44,-3.1,43.44
South Alabama,-2.92,-1.07,-1.84,42.38
Purdue,-3.01,-1.11,-1.9,57.28
Fresno State,-3.17,-2.1,-1.07,43.23
Texas State,-3.75,0.2,-3.95,42.54
Louisiana,-3.82,-1.79,-2.02,42.08
Stanford,-3.87,-1.58,-2.29,56.24
Air Force,-4.12,-4.06,-0.06,43.4
East Carolina,-4.73,-2.21,-2.52,43.67
Troy,-4.94,-2.8,-2.14,42.47
Miami (OH),-5,-5.3,0.3,42.12
San José State,-5.63,-2.37,-3.26,42.36
App State,-5.67,-1.58,-4.1,42.28
Toledo,-5.72,-3.42,-2.3,39.53
Georgia Southern,-5.84,-1.77,-4.07,43.28
South Florida,-5.92,-0.73,-5.19,45.62
Old Dominion,-6.04,-2.77,-3.27,45.08
Jacksonville State,-6.13,-1.79,-4.34,36.3
Coastal Carolina,-6.45,-2.12,-4.33,44.82
UConn,-6.99,-4.07,-2.92,40.53
Western Kentucky,-7.03,-3.67,-3.35,38.32
Liberty,-7.09,-3.24,-3.84,35.94
North Texas,-7.57,-0.95,-6.62,42.03
Bowling Green,-7.99,-5.12,-2.88,39.61
Wyoming,-8.15,-6.02,-2.13,43.3
Northern Illinois,-8.23,-6.39,-1.84,39.49
Colorado State,-8.79,-5.39,-3.4,45.01
Utah State,-9.1,-0.97,-8.13,44.51
Georgia State,-9.37,-3.56,-5.82,47.17
Nevada,-9.51,-5.27,-4.23,44.11
Sam Houston,-10.11,-7.18,-2.93,43.54
Rice,-10.38,-5.97,-4.41,42.64
Buffalo,-10.39,-4.95,-5.43,39
UAB,-10.57,-3.54,-7.02,43.26
Arkansas State,-10.63,-4.02,-6.61,42.55
Western Michigan,-11.16,-4.77,-6.39,41.07
San Diego State,-11.2,-6.7,-4.5,43.2
New Mexico,-12.06,-2.99,-9.08,45.09
Florida Atlantic,-12.5,-6.37,-6.12,42.71
Hawai'i,-12.56,-7.1,-5.46,42.71
UL Monroe,-13.06,-7.05,-6.01,43.4
Louisiana Tech,-13.78,-7.96,-5.82,37.96
Central Michigan,-13.82,-7.32,-6.5,39.99
Missouri State,-14.31,-4.75,-9.56,39.48
Eastern Michigan,-14.39,-7.42,-6.97,41.73
Charlotte,-14.57,-6.88,-7.7,46.02
Ball State,-14.89,-6.33,-8.56,40.4
Temple,-16.57,-8.26,-8.32,44.3
Tulsa,-16.99,-6.02,-10.97,43.76
Florida International,-17.02,-8.67,-8.35,42.88
Akron,-17.23,-9.4,-7.83,38.42
Delaware,-17.39,-8.54,-8.85,39.67
UTEP,-17.66,-9.21,-8.45,38.49
Middle Tennessee,-17.71,-9.27,-8.44,38.15
New Mexico State,-17.83,-8.28,-9.55,37.61
Massachusetts,-19.35,-8.56,-10.79,40.41
Southern Miss,-19.67,-9.91,-9.76,42.33
Kent State,-25,-11.76,-13.24,41.55
Kennesaw State,-25.16,-13.7,-11.46,38.72
,,,,
VERIFICATION (FBS AVERAGES):,New Averages Should Be ~0.00,,,
New FBS Averages:,0,0,0,